episode,total_reward,steps,objects_placed,volume_pct
707,-0.1087,2,1,2.55
708,0.2839,3,2,4.42
709,-0.1143,2,1,1.25
710,-10.0,1,0,0.0
711,0.3019,3,2,5.08
712,0.2737,3,2,4.44
713,0.2787,3,2,3.81
714,-10.0,1,0,0.0
715,0.2771,3,2,4.41
716,-0.0979,2,1,2.55
717,-0.1112,2,1,1.92
718,0.6843,4,3,5.71
719,-0.1132,2,1,1.25
720,-0.1131,2,1,2.52
721,0.2747,3,2,4.44
722,-0.0905,2,1,2.54
723,-10.0,1,0,0.0
724,0.6892,4,3,5.69
725,-0.1218,2,1,1.89
726,-0.1022,2,1,1.25
727,-10.0,1,0,0.0
728,-0.1168,2,1,1.25
729,0.2927,3,2,2.55
730,-10.0,1,0,0.0
731,-0.114,2,1,2.52
732,-0.1012,2,1,2.53
733,-0.1083,2,1,2.53
734,-0.1135,2,1,2.55
735,0.2907,3,2,3.81
736,-0.1087,2,1,1.92
737,-0.1131,2,1,2.55
738,-0.117,2,1,2.52
739,0.2731,3,2,3.15
740,-0.1147,2,1,2.52
741,-0.0936,2,1,1.92
742,0.2957,3,2,4.44
743,0.2902,3,2,5.06
744,0.275,3,2,4.45
745,-0.108,2,1,2.53
746,0.2792,3,2,5.08
747,0.2714,3,2,2.51
748,-0.1092,2,1,2.53
749,-0.114,2,1,0.63
750,-0.114,2,1,2.52
751,-0.0978,2,1,1.25
752,-0.1074,2,1,2.55
753,-0.1041,2,1,1.89
754,-0.1116,2,1,2.53
755,-0.1092,2,1,2.53
756,-0.0917,2,1,2.55
757,-0.1152,2,1,0.63
758,-0.1044,2,1,1.25
759,-0.093,2,1,2.55
760,0.2899,3,2,5.07
761,-0.0918,2,1,1.89
762,-0.0955,2,1,1.9
763,-0.1146,2,1,2.52
764,-10.0,1,0,0.0
765,0.2788,3,2,5.05
766,-0.0972,2,1,2.55
767,-0.102,2,1,2.53
768,-0.1119,2,1,1.92
769,-0.1,2,1,2.55
770,-0.1082,2,1,2.53
771,0.7168,4,3,7.03
772,0.2713,3,2,3.15
773,-0.1117,2,1,1.25
774,-0.1099,2,1,2.53
775,-0.1064,2,1,2.53
776,0.2932,3,2,3.17
777,-0.1098,2,1,1.89
778,-0.1073,2,1,2.53
779,-0.1087,2,1,2.53
780,-0.1013,2,1,1.25
781,-0.111,2,1,1.92
782,0.2973,3,2,4.42
783,-0.0984,2,1,2.53
784,-0.11,2,1,1.92
785,0.297,3,2,4.42
786,0.2952,3,2,3.18
787,-0.0984,2,1,2.53
788,-0.1168,2,1,1.25
789,-0.1151,2,1,0.63
790,-0.1079,2,1,2.53
791,0.2879,3,2,4.45
792,-0.1085,2,1,2.53
793,-0.1013,2,1,2.53
794,0.2856,3,2,4.45
795,0.2765,3,2,4.44
796,-0.1137,2,1,2.52
797,-0.0984,2,1,2.55
798,-0.0943,2,1,1.92
799,-0.1,2,1,2.55
800,-0.0939,2,1,1.92
801,0.2836,3,2,2.51
802,0.2846,3,2,3.15
803,-0.0925,2,1,2.53
804,0.2744,3,2,2.55
805,-0.0934,2,1,1.92
806,-0.1139,2,1,0.63
807,-0.0937,2,1,1.92
808,0.2802,3,2,3.82
809,0.2919,3,2,3.16
810,-0.0987,2,1,2.55
811,0.6912,4,3,5.09
812,-0.1133,2,1,1.25
813,0.2875,3,2,5.09
814,0.2701,3,2,1.88
815,0.2832,3,2,3.8
816,-0.099,2,1,2.54
817,0.6675,4,3,5.7
818,0.2737,3,2,4.41
819,-0.1089,2,1,1.92
820,0.2858,3,2,3.15
821,-10.0,1,0,0.0
822,0.292,3,2,4.45
823,0.2702,3,2,3.79
824,-0.0988,2,1,2.55
825,-0.1092,2,1,1.92
826,-0.1048,2,1,1.9
827,0.7047,4,3,6.97
828,-0.1053,2,1,1.89
829,0.2819,3,2,3.8
830,-0.1188,2,1,1.25
831,-0.1047,2,1,1.9
832,-0.1081,2,1,2.53
833,0.2905,3,2,5.06
834,-0.1111,2,1,1.92
835,0.2891,3,2,5.05
836,-0.117,2,1,0.63
837,-0.0966,2,1,1.9
838,-0.0921,2,1,1.89
839,-0.1139,2,1,0.63
840,-0.1083,2,1,2.53
841,-0.0992,2,1,2.53
842,-0.1111,2,1,1.92
